SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Cryptography,11.0501,Computer Systems Analysis/Analyst,Doctor's degree – research/scholarship,3,2,1,2,2,1,1,1,0
Cryptography,11.0501,Computer Systems Analysis/Analyst,Postbaccalaureate certificate,25,21,4,14,14,2,11,9,2
Cryptography,11.0501,Computer Systems Analysis/Analyst,Post-master's certificate,2,0,2,1,1,1,1,0,1
Cryptography,11.0701,Computer Science,All award levels (total),35136,27850,7286,23230,23230,3911,11906,8531,3375
Cryptography,11.0701,Computer Science,Postsecondary certificate < 60 semester credit hours,10,8,2,9,9,2,1,1,0
Cryptography,11.0701,Computer Science,Associate's degree,1694,1444,250,1598,1598,229,96,75,21
Cryptography,11.0701,Computer Science,Bachelor's degree,19904,16507,3397,18055,18055,2943,1849,1395,454
Cryptography,11.0701,Computer Science,Master's degree,12490,9034,3456,3137,3137,669,9353,6566,2787
Cryptography,11.0701,Computer Science,Doctor's degree – research/scholarship,934,775,159,356,356,51,578,470,108
Cryptography,11.0701,Computer Science,Doctor's degree – other,43,35,8,43,43,8,0,0,0
Cryptography,11.0701,Computer Science,Postbaccalaureate certificate,47,34,13,30,30,9,17,13,4
Cryptography,11.0701,Computer Science,Post-master's certificate,14,13,1,2,2,0,12,11,1
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,All award levels (total),889,582,307,677,677,233,212,138,74
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate < 60 semester credit hours,76,44,32,74,74,31,2,1,1
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Postsecondary certificate > 60 semester credit hours,11,5,6,9,9,6,2,2,0
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Associate's degree,127,78,49,123,123,47,4,2,2
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Bachelor's degree,172,127,45,166,166,44,6,5,1
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Master's degree,361,237,124,249,249,83,112,71,41
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Postbaccalaureate certificate,138,88,50,53,53,21,85,56,29
Cryptography,11.0802,Data Modeling/Warehousing and Database Administration,Post-master's certificate,4,3,1,3,3,1,1,1,0
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,All award levels (total),8120,6606,1514,7589,7589,1365,531,382,149
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Postsecondary certificate < 60 semester credit hours,474,385,89,471,471,89,3,3,0
