SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Lasers,14.1004,Telecommunications Engineering,Doctor's degree – research/scholarship,2,1,1,0,0,0,2,1,1
Lasers,14.1004,Telecommunications Engineering,Postbaccalaureate certificate,14,10,4,3,3,0,11,7,4
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",All award levels (total),5623,5135,488,5417,5417,473,206,191,15
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Postsecondary certificate < 60 semester credit hours,1078,975,103,1070,1070,103,8,8,0
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Postsecondary certificate > 60 semester credit hours,3,3,0,3,3,0,0,0,0
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Associate's degree,3117,2872,245,3052,3052,239,65,59,6
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Bachelor's degree,1410,1272,138,1280,1280,129,130,121,9
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Master's degree,15,13,2,12,12,2,3,3,0
Lasers,15.0304,Laser and Optical Technology/Technician,All award levels (total),93,86,7,93,93,7,0,0,0
Lasers,15.0304,Laser and Optical Technology/Technician,Postsecondary certificate < 60 semester credit hours,14,13,1,14,14,1,0,0,0
Lasers,15.0304,Laser and Optical Technology/Technician,Associate's degree,79,73,6,79,79,6,0,0,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",All award levels (total),1423,1059,364,1416,1416,361,7,4,3
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Postsecondary certificate < 60 semester credit hours,151,147,4,151,151,4,0,0,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Postsecondary certificate > 60 semester credit hours,47,47,0,47,47,0,0,0,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Associate's degree,1209,851,358,1202,1202,355,7,4,3
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Bachelor's degree,16,14,2,16,16,2,0,0,0
Lasers,40.0502,Analytical Chemistry,All award levels (total),35,12,23,29,29,18,6,1,5
Lasers,40.0502,Analytical Chemistry,Bachelor's degree,11,1,10,10,10,9,1,0,1
Lasers,40.0502,Analytical Chemistry,Master's degree,17,8,9,15,15,7,2,0,2
Lasers,40.0502,Analytical Chemistry,Doctor's degree – research/scholarship,6,2,4,4,4,2,2,0,2
Lasers,40.0502,Analytical Chemistry,Postbaccalaureate certificate,1,1,0,0,0,0,1,1,0
Lasers,40.0807,Optics/Optical Sciences,All award levels (total),213,139,74,143,143,54,70,50,20
Lasers,40.0807,Optics/Optical Sciences,Associate's degree,35,7,28,35,35,28,0,0,0
Lasers,40.0807,Optics/Optical Sciences,Bachelor's degree,24,16,8,21,21,6,3,1,2
Lasers,40.0807,Optics/Optical Sciences,Master's degree,106,80,26,62,62,15,44,33,11
Lasers,40.0807,Optics/Optical Sciences,Doctor's degree – research/scholarship,47,35,12,24,24,5,23,16,7
Lasers,40.0807,Optics/Optical Sciences,Postbaccalaureate certificate,1,1,0,1,1,0,0,0,0
