SETR Category,CIPCode,CIPField,Award level,Grand total,Grand total men,Grand total women,U.S. Resident/Citizen total,U.S. Resident/Citizen men,U.S. Resident/Citizen women,U.S. Nonresident total,U.S. Nonresident men,U.S. Nonresident women
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Postbaccalaureate certificate,1204,878,326,1113,1113,297,91,62,29
Cryptography,11.1003,Computer and Information Systems Security/Auditing/Information Assurance,Post-master's certificate,24,17,7,24,24,7,0,0,0
Cryptography,27.0101,"Mathematics, General",All award levels (total),29658,18078,11580,24387,24387,9623,5271,3314,1957
Cryptography,27.0101,"Mathematics, General",Postsecondary certificate < 60 semester credit hours,17,9,8,17,17,8,0,0,0
Cryptography,27.0101,"Mathematics, General",Associate's degree,4835,3222,1613,4571,4571,1497,264,148,116
Cryptography,27.0101,"Mathematics, General",Bachelor's degree,21080,12343,8737,17371,17371,7236,3709,2208,1501
Cryptography,27.0101,"Mathematics, General",Master's degree,2504,1579,925,1789,1789,713,715,503,212
Cryptography,27.0101,"Mathematics, General",Doctor's degree – research/scholarship,1141,885,256,579,579,135,562,441,121
Cryptography,27.0101,"Mathematics, General",Postbaccalaureate certificate,67,28,39,52,52,33,15,9,6
Cryptography,27.0101,"Mathematics, General",Post-master's certificate,14,12,2,8,8,1,6,5,1
Cryptography,27.0303,Computational Mathematics,All award levels (total),381,272,109,259,259,76,122,89,33
Cryptography,27.0303,Computational Mathematics,Postsecondary certificate < 60 semester credit hours,1,1,0,1,1,0,0,0,0
Cryptography,27.0303,Computational Mathematics,Bachelor's degree,345,246,99,234,234,70,111,82,29
Cryptography,27.0303,Computational Mathematics,Master's degree,9,5,4,9,9,4,0,0,0
Cryptography,27.0303,Computational Mathematics,Doctor's degree – research/scholarship,26,20,6,15,15,2,11,7,4
Cryptography,27.0502,Mathematical Statistics and Probability,All award levels (total),500,283,217,203,203,77,297,157,140
Cryptography,27.0502,Mathematical Statistics and Probability,Bachelor's degree,280,158,122,155,155,63,125,66,59
Cryptography,27.0502,Mathematical Statistics and Probability,Master's degree,202,111,91,42,42,12,160,81,79
Cryptography,27.0502,Mathematical Statistics and Probability,Doctor's degree – research/scholarship,18,14,4,6,6,2,12,10,2
Cryptography,27.0503,Mathematics and Statistics,All award levels (total),429,233,196,318,318,138,111,53,58
Cryptography,27.0503,Mathematics and Statistics,Bachelor's degree,223,132,91,176,176,71,47,27,20
Cryptography,27.0503,Mathematics and Statistics,Master's degree,191,93,98,129,129,60,62,24,38
Cryptography,27.0503,Mathematics and Statistics,Postbaccalaureate certificate,15,8,7,13,13,7,2,2,0
Cryptography,52.1302,Business Statistics,All award levels (total),4194,2331,1863,2090,2090,759,2104,1000,1104
Cryptography,52.1302,Business Statistics,Postsecondary certificate < 60 semester credit hours,15,7,8,15,15,8,0,0,0
Cryptography,52.1302,Business Statistics,Associate's degree,83,66,17,74,74,16,9,8,1
Cryptography,52.1302,Business Statistics,Bachelor's degree,612,379,233,529,529,198,83,48,35
Cryptography,52.1302,Business Statistics,Master's degree,2958,1560,1398,1087,1087,405,1871,878,993
Cryptography,52.1302,Business Statistics,Doctor's degree – research/scholarship,5,2,3,0,0,0,5,2,3
Cryptography,52.1302,Business Statistics,Postbaccalaureate certificate,439,283,156,333,333,109,106,59,47
Cryptography,52.1302,Business Statistics,Post-master's certificate,82,34,48,52,52,23,30,5,25
Lasers,14.0803,Structural Engineering,All award levels (total),332,233,99,254,254,82,78,61,17
Lasers,14.0803,Structural Engineering,Bachelor's degree,154,105,49,145,145,47,9,7,2
Lasers,14.0803,Structural Engineering,Master's degree,161,116,45,104,104,32,57,44,13
Lasers,14.0803,Structural Engineering,Doctor's degree – research/scholarship,13,11,2,2,2,0,11,9,2
Lasers,14.0803,Structural Engineering,Postbaccalaureate certificate,4,1,3,3,3,3,1,1,0
Lasers,14.1001,Electrical and Electronics Engineering,All award levels (total),28008,23010,4998,19014,19014,3030,8994,7026,1968
Lasers,14.1001,Electrical and Electronics Engineering,Postsecondary certificate < 60 semester credit hours,77,72,5,77,77,5,0,0,0
Lasers,14.1001,Electrical and Electronics Engineering,Associate's degree,255,226,29,236,236,26,19,16,3
Lasers,14.1001,Electrical and Electronics Engineering,Bachelor's degree,17158,14480,2678,14834,14834,2314,2324,1960,364
Lasers,14.1001,Electrical and Electronics Engineering,Master's degree,8249,6363,1886,3210,3210,577,5039,3730,1309
Lasers,14.1001,Electrical and Electronics Engineering,Doctor's degree – research/scholarship,2129,1745,384,563,563,98,1566,1280,286
Lasers,14.1001,Electrical and Electronics Engineering,Postbaccalaureate certificate,111,96,15,85,85,10,26,21,5
Lasers,14.1001,Electrical and Electronics Engineering,Post-master's certificate,29,28,1,9,9,0,20,19,1
Lasers,14.1003,Laser and Optical Engineering,All award levels (total),121,93,28,66,66,13,55,40,15
Lasers,14.1003,Laser and Optical Engineering,Bachelor's degree,53,41,12,46,46,9,7,4,3
Lasers,14.1003,Laser and Optical Engineering,Master's degree,46,33,13,15,15,3,31,21,10
Lasers,14.1003,Laser and Optical Engineering,Doctor's degree – research/scholarship,22,19,3,5,5,1,17,15,2
Lasers,14.1004,Telecommunications Engineering,All award levels (total),133,95,38,30,30,7,103,72,31
Lasers,14.1004,Telecommunications Engineering,Master's degree,118,84,34,22,22,5,96,67,29
Lasers,14.1004,Telecommunications Engineering,Doctor's degree – research/scholarship,5,3,2,3,3,1,2,1,1
Lasers,14.1004,Telecommunications Engineering,Postbaccalaureate certificate,10,8,2,5,5,1,5,4,1
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",All award levels (total),4565,4115,450,4412,4412,410,153,113,40
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Postsecondary certificate < 60 semester credit hours,576,524,52,565,565,47,11,6,5
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Postsecondary certificate > 60 semester credit hours,14,14,0,14,14,0,0,0,0
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Associate's degree,2734,2454,280,2664,2664,254,70,44,26
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Bachelor's degree,1235,1120,115,1167,1167,109,68,62,6
Lasers,15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician",Master's degree,6,3,3,2,2,0,4,1,3
Lasers,15.0304,Laser and Optical Technology/Technician,All award levels (total),130,108,22,129,129,21,1,0,1
Lasers,15.0304,Laser and Optical Technology/Technician,Postsecondary certificate < 60 semester credit hours,52,43,9,52,52,9,0,0,0
Lasers,15.0304,Laser and Optical Technology/Technician,Associate's degree,78,65,13,77,77,12,1,0,1
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",All award levels (total),912,849,63,911,911,63,1,1,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Postsecondary certificate < 60 semester credit hours,250,238,12,249,249,12,1,1,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Postsecondary certificate > 60 semester credit hours,46,45,1,46,46,1,0,0,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Associate's degree,603,553,50,603,603,50,0,0,0
Lasers,15.0499,"Electromechanical Technologies/Technicians, Other",Bachelor's degree,13,13,0,13,13,0,0,0,0
Lasers,40.0502,Analytical Chemistry,All award levels (total),34,13,21,29,29,19,5,3,2
Lasers,40.0502,Analytical Chemistry,Bachelor's degree,6,0,6,5,5,5,1,0,1
Lasers,40.0502,Analytical Chemistry,Master's degree,22,12,10,20,20,10,2,2,0
Lasers,40.0502,Analytical Chemistry,Doctor's degree – research/scholarship,4,1,3,2,2,2,2,1,1
